;;;add;addi;addiw;addw;and;andi;auipc;beqz;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;stall;sub;subw;sw;xor;xori
1b_div_300x300,instr,csv;div;2546,49;0;146;1;0;0;0;0;0;146;43970;0;0;0;0;0;0;0;0;22;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454695;0;0;0;0;0
1b_divu_300x300,instr,csv;divu;2551,791;0;157;1;0;0;0;0;0;157;0;47140;0;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451503;0;0;0;0;0
1b_divuw_300x300,instr,csv;divuw;2536,233;0;158;1;0;0;0;0;0;158;0;0;47476;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451165;0;0;0;0;0
1b_divw_300x300,instr,csv;divw;2483,518;0;116;1;0;0;0;0;0;116;0;0;0;34805;0;0;0;0;0;20;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463920;0;0;0;0;0
1b_lb_300x300,instr,csv;lb;1690,017;0;0;6;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498914;0;0;0;0;0
1b_lbu_300x300,instr,csv;lbu;1689,986;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498922;0;0;0;0;0
1b_lh_300x300,instr,csv;lh;1802,976;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498957;0;0;0;0;0
1b_lhu_300x300,instr,csv;lhu;1802,984;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498925;0;0;0;0;0
1b_li_300x300,instr,csv;li;2246,789;0;301;7;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;90020;6;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1b_lui_300x300,instr,csv;lui;2895,063;0;300;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;90005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_lw_300x300,instr,csv;lw;1802,989;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498925;0;0;0;0;0
1b_mul_300x300,instr,csv;mul;2741,686;0;275;4;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;23;4;0;82592;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415815;0;0;0;0;0
1b_mulh_300x300,instr,csv;mulh;2585,982;0;138;5;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;22;5;0;0;41438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457243;0;0;0;0;0
1b_mulhsu_300x300,instr,csv;mulhsu;2589,002;0;139;6;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;21;6;0;0;0;41994;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456653;0;0;0;0;0
1b_mulhu_300x300,instr,csv;mulhu;2670,579;0;139;7;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;41851;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456796;0;0;0;0;0
1b_mulw_300x300,instr,csv;mulw;2599,873;0;277;1;0;0;0;0;0;277;0;0;0;0;0;0;0;0;0;26;1;0;0;0;0;0;83375;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415028;0;0;0;0;0
1b_mv_300x300,instr,csv;mv;1965,962;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;90000;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1b_nop_300x300,instr,csv;nop;1731,204;0;300;3;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;90002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_or_300x300,instr,csv;or;2339,838;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1b_ori_300x300,instr,csv;ori;2309,684;0;300;2;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;25;2;0;0;0;0;0;0;0;3;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_rem_300x300,instr,csv;rem;2566,5;0;156;1;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;23;4;0;0;0;0;0;0;0;4;0;0;46873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451772;0;0;0;0;0
