;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2a_ipc90_300x300,instr,csv;ipc90;2733,27;3600;6300;7203;3600;2400;4800;300;1;900;300;900;1500;24;3;1500;1500;600;600;600;600;0;2;4200;4800;0;0;900;0;1500;2400;6600;6600;4200;2100;3000;3300;1800;37964;1200;2100;3600;5100
2a_ipc91_300x300,instr,csv;ipc91;2619,658;1500;6300;6902;3300;2100;6300;300;1;900;1200;600;600;25;2;900;1200;900;1200;900;0;0;3;3600;6900;0;0;2700;0;3300;2400;3900;7500;2700;3000;2100;1800;3000;40384;1200;3000;3900;4500
2a_ipc92_300x300,instr,csv;ipc92;1690,049;0;5;11;3;3;4;0;0;2;1;0;1;22;5;0;0;1;0;1;0;0;0;2;3;0;0;1;0;2;3;3;0;1;2;3;3;4;498894;3;0;2;4
2a_ipc93_300x300,instr,csv;ipc93;1690,116;3;8;13;2;2;6;0;0;0;1;0;0;22;5;0;2;1;0;0;0;0;0;6;7;0;0;3;0;5;4;9;8;5;7;2;1;1;498847;2;5;4;8
2a_ipc94_300x300,instr,csv;ipc94;1690,087;3;2;8;4;1;6;0;0;0;0;0;1;20;7;1;0;1;1;0;0;0;30;2;6;0;0;4;0;2;1;4;7;3;3;3;4;2;498850;1;4;2;6
2a_ipc95_300x300,instr,csv;ipc95;1690,038;1;4;9;0;2;4;0;0;1;0;0;0;23;4;0;1;0;0;0;0;0;1;1;3;0;0;0;0;2;5;4;6;3;1;0;1;2;498904;1;4;0;2
2a_ipc96_300x300,instr,csv;ipc96;2839,883;3300;6000;6005;2400;2700;4800;300;1;300;0;300;600;22;5;300;1500;600;0;1200;600;0;0;2100;4500;0;0;3600;0;3300;4800;6000;5100;2100;3300;3300;1500;3000;24792;2100;3300;3300;8400
2a_ipc97_300x300,instr,csv;ipc97;2803,224;3300;7800;5408;2700;1800;7200;300;1;0;0;600;0;19;8;300;0;300;0;0;300;0;29;3600;9600;0;0;2700;0;1500;2100;8700;7500;3900;2400;4200;3300;300;4728;2100;2400;1800;4500
2a_ipc98_300x300,instr,csv;ipc98;2764,276;1800;4500;6901;2400;3900;6900;300;1;300;300;300;0;26;1;0;0;600;300;300;0;0;4;2100;5100;0;0;3000;0;3600;2400;5700;5100;2100;3600;3300;6000;2100;10700;3900;3300;1800;8700
2a_ipc99_300x300,instr,csv;ipc99;2769,654;1800;6300;5703;3900;2700;6000;300;1;0;0;0;0;24;3;0;0;0;0;0;0;0;2;3000;4500;0;0;1800;0;1800;3900;6600;8400;3600;3600;4500;3900;2700;215;2100;3600;3000;6900
2b_ipc,instr,csv;ipc,instr,csv;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2b_ipc00_300x300,instr,csv;ipc00;1690,04;0;0;3;0;0;0;0;0;1;0;2;1;24;3;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498947;0;0;0;0
2b_ipc01_300x300,instr,csv;ipc01;1690,044;0;0;8;0;0;0;0;0;5;0;0;0;19;8;0;2;1;1;0;2;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498914;0;0;0;0
2b_ipc02_300x300,instr,csv;ipc02;2518,157;0;518;263;0;260;259;259;0;8807;8548;6734;8288;23;4;8548;6735;8549;5182;9065;5180;0;1;0;0;0;0;259;0;0;0;0;518;0;259;0;0;0;420730;0;0;0;0
2b_ipc03_300x300,instr,csv;ipc03;2675,056;0;525;531;0;0;0;262;0;9190;6559;7091;7613;21;6;7617;7347;8931;6562;5513;9709;0;31;0;525;0;0;0;0;262;0;0;262;263;263;0;0;0;419643;0;0;0;263
2b_ipc04_300x300,instr,csv;ipc04;1689,988;0;0;4;0;0;0;0;0;0;0;0;0;23;4;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498954;0;0;0;0
2b_ipc05_300x300,instr,csv;ipc05;1689,997;0;0;7;0;0;0;0;0;1;0;0;1;20;7;0;2;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498921;0;0;0;0
2b_ipc06_300x300,instr,csv;ipc06;1690,058;0;0;5;0;0;0;0;0;1;1;0;0;22;5;0;2;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;498946;0;0;0;0
